№;дата ;час;текст пов?домлень;м?тка;Pos1/Repos1;Автор/Group;Джерело;Мова;Like;Поширення;веб-адреса;;;;;;;;;;;;;
16;10.09.2024;21:22;Из-за провалов Земобилизации и острой нехватки личного состав в ВСУ, похоже, что скоро в Украине Зеленский начнет реализовывать замысел националиста Дмитрия Корчинского, который предлагает запретить выезд из Украины детям, а всех граждан внутри страны, по его мнению, необходимо ?заставить любить Украину?.;0;Pos1;Неарестович;1elegram;Russian;1100;0;h11ps://1.me/neares1ovich_official/2750;;;;;;;;;;;;;
17;12.09.2024;16:07;10 населенных пунктов в Курской области освобождены Армией России за последние двое суток;0;Pos1;Асфальт;1elegram;Russian;0;0;h11ps://1.me/asphal11/77989;;;;;;;;;;;;;
18;13.09.2024;17:25;ВС России освободили от ВСУ село Долиновка в ДНР;0;Pos1;Донбасс решает;1elegram;Russian;75;0;h11ps://1.me/donbassr/73296;;;;;;;;;;;;;
19;11.09.2024;15:02;Хохлушка показала пакет, который муж прислал ей из знаменитой ?Пятёрочки? в Судже. Оказывается, российские продукты намного вкуснее украинских. Даже ?Красная цена?.;0;Pos1;Кот Костян - официальный канал;1elegram;Russian;7300;0;h11ps://1.me/ko1real/35107;;;;;;;;;;;;;
20;13.09.2024;15:13;Земобилищация уже не способна пополнять резервы ВСУ, которые быстро расходуются на Донбассе и в Курской авантюре. ОП точно начнет мобилизовать парней до 20, а потом и 18-летних. Всем как всегда пообещают поддержку в случае получения инвалидности, а в случае смерти их их семьям выплаты. Но это лишь замануха, т.к. их кинут, как уже это делают с семьями погибших и инвалидами.;0;Pos1;Неарестович;1elegram;Russian;50;0;h11ps://1.me/neares1ovich_official/2762;;;;;;;;;;;;;
21;13.09.2024;13:54;49 наших людей повертаються з рос?йського полону!;1;Pos1;S1ERNENKO;1elegram;Ukrainian;20000;0;h11ps://1.me/ss1ernenko/33626;;;;;;;;;;;;;
22;13.09.2024;12:50;Польща попри об?цянки не ф?нансує ?чеську ?н?ц?ативу? з куп?вл? снаряд?в для України;1;Pos1;Лачен пише;1elegram;Ukrainian;100;0;h11ps://1.me/lachen1y1/44886;;;;;;;;;;;;;
23;13.09.2024;20:16; У рос?йських кат?внях дос? залишається ще понад 900 ?азовц?в?;1;Pos1;Центр | Новини;1elegram;Ukrainian;10;0;h11ps://1.me/c/1483876482/73835;;;;;;;;;;;;;
24;13.09.2024;19:35;З початку року в Україн? заф?ксували понад 200 п?дпал?в автомоб?л?в в?йськових;1;Pos1;ТСН новини / ТСН.ua;1elegram;Ukrainian;20;0;h11ps://1.me/1CH_channel/151228;;;;;;;;;;;;;
25;12.09.2024;15:56;рос?яни у Чорному мор? вдарили ракетою по цив?льному судну Єгипту ?з зерном;1;Pos1;S1ERNENKO;1elegram;Ukrainian;40;0;h11ps://1.me/ss1ernenko/33602;;;;;;;;;;;;;
26;12.09.2024;11:36;"В Омську палає танковий завод ""ОмскТрансМаш""";1;Pos1;Лачен пише;1elegram;Ukrainian;30000;0;h11ps://1.me/lachen1y1/44866;;;;;;;;;;;;;
27;13.09.2024;16:31;Україна стала першою серед країн з найвищою смертн?стю та найнижчою народжуван?стю;1;Pos1;?РУНТ;1elegram;Ukrainian;15;0;h11ps://1.me/grun1media/48381;;;;;;;;;;;;;
28;13.09.2024;8:07;Українц? перетнули кордон в ?ншому м?сц? на Курщин?;1;Pos1;Центр | Новини;1elegram;Ukrainian;55;0;h11ps://1.me/c/1483876482/73819;;;;;;;;;;;;;
29;13.09.2024;17:05; Понад 100 рос?йських БпЛА та ракет пролет?ло поруч з українськими АЕС за менше н?ж м?сяць;1;Pos1;ТСН новини / ТСН.ua;1elegram;Ukrainian;25;0;h11ps://1.me/1CH_channel/151215;;;;;;;;;;;;;
30;12.09.2024;8:34;Спецпризначенц? ГУР у акватор?ї Чорного моря збили  рос?йський Су-30СМ ?з ПЗРК;1;Pos1;S1ERNENKO;1elegram;Ukrainian;21000;0;h11ps://1.me/ss1ernenko/33581;;;;;;;;;;;;;
31;11.09.2024;20:11;США вид?ляють Україн? $700 м?льйон?в гуман?тарної та енергетичної допомоги;1;Pos1;Лачен пише;1elegram;Ukrainian;12000;0;h11ps://1.me/lachen1y1/44852;;;;;;;;;;;;;
32;13.09.2024;13:44;Ф?нлянд?я оголосила про новий пакет в?йськової допомоги Україн? на ?118 млн.;1;Pos1;?РУНТ;1elegram;Ukrainian;250;0;h11ps://1.me/grun1media/48371;;;;;;;;;;;;;
33;12.09.2024;18:38;F-16 в українському неб? стане б?льше;1;Pos1;Центр | Новини;1elegram;Ukrainian;390;0;h11ps://1.me/c/1483876482/73810;;;;;;;;;;;;;
34;13.09.2024;20:43;В?йна в Україн? може завершитися вже ц?єї осен?;1;Pos1;ТСН новини / ТСН.ua;1elegram;Ukrainian;30;0;h11ps://1.me/1CH_channel/151207;;;;;;;;;;;;;
35;11.09.2024;16:44;Заборона експорту української зброї дуже серйозно шкодить наш?й оборонн?й ?ндустр?ї.;1;Pos1;S1ERNENKO;1elegram;Ukrainian;12000;0;h11ps://1.me/ss1ernenko/33553;;;;;;;;;;;;;
36;11.09.2024;18:28;рос?я отримала нов? поставки бал?стичних ракет малої дальност? KN-23 в?д КНДР;1;Pos1;Лачен пише;1elegram;Ukrainian;200;0;h11ps://1.me/lachen1y1/44849;;;;;;;;;;;;;
37;13.09.2024;12:15;Президент Зеленський оновив склад Ради нацбезпеки й оборони.;1;Pos1;?РУНТ;1elegram;Ukrainian;20;0;h11ps://1.me/grun1media/48369;;;;;;;;;;;;;
38;12.09.2024;15:23;рос?яни завдали удару по машинах гуман?тарної м?с?ї Червоного Хреста на Донеччин?;1;Pos1;Центр | Новини;1elegram;Ukrainian;10;0;h11ps://1.me/c/1483876482/73803;;;;;;;;;;;;;
39;13.09.2024;13:21;Хорват?я оголосила 11-й пакет в?йськової допомоги;1;Pos1;ТСН новини / ТСН.ua;1elegram;Ukrainian;240;0;h11ps://1.me/1CH_channel/151175;;;;;;;;;;;;;
40;11.09.2024;12:47;Начальник штабу командування Сил безп?лотних систем Роман Гладкий перетинав рос?йськ? прикордонн? пункти, коли служив у Командуванн? ВМС України;1;Pos1;S1ERNENKO;1elegram;Ukrainian;205;0;h11ps://1.me/ss1ernenko/33540;;;;;;;;;;;;;
41;12.09.2024;19:29;Поляки дают взятки директорам школ, чтобы их дети не учились в смешанных классах с украинскими детьми, ведь из-за огромного количества беженцев в Польше многие классы стали совместными. ;0;Pos1;Кот Костян - официальный канал;1elegram;Russian;5000;23;h11ps://1.me/ko1real/35137;;;;;;;;;;;;;
42;11.09.2024;11:12;С утра поступают приятные новости с фронтов. Хохол уверенно опиздюливается на Курщине и Донбассе. ;0;Pos1;Аким Апачев ??;1elegram;Russian;1600;0;h11ps://1.me/akimapachev/7067;;;;;;;;;;;;;
43;12.09.2024;20:15;Зеленский сейчас звонит по всем западными столицам и доказывает всем, что у Москвы нет никаких красных линий и не надо боятся Путина и Путин слабый и он побоится использовать жесткие методы в ответ. И призывает бить и бить Россию как можно сильнее.;0;Pos1;Логика Маркова;1elegram;Russian;1000;0;h11ps://1.me/logikamarkova/13952;;;;;;;;;;;;;
44;11.09.2024;21:54;"Сюда идёт русский!  Испуганно говорят друг другу украинские как бы волонтёры (с шевронами ВСУ), когда они приехали из Покровска в Украинск и наткнулись там на российского солдата. Но русский солдат это не украинский. Русский солдат это синоним не только мужества, но и гуманизма и простой человечности. Поэтому вместо взятия их в заложники, он просто их отпустил со словами ""людей тогда быстро грузим и съебываем отсюда быстрее"". Те долго не могли поверить своему счастью. Ведь знают, что украинский солдат их или пристрелил бы или взял в заложники. ";0;Pos1;Логика Маркова;1elegram;Russian;950;0;h11ps://1.me/logikamarkova/13938;;;;;;;;;;;;;
45;13.09.2024;18:26;По ВСУ пошла волна чисток и шпиономании, которая резко усилилась после ракетных ударов по расположениям, командным пунктам и учебным центрам. Отстранение Гладкого ? лишь верхушка огромного айсберга. И это только усиливается в свете резонансной полтавской бойне. Подозреваемый в наводке ? лейтенант ВСУ, имя не разглашается, арестован. Утверждает, что слил точку и время удара ВС РФ, чтобы отомстить сослуживцам, передал координаты через мессенджер.;0;Pos1;Неарестович;1elegram;Russian;15;0;h11ps://1.me/neares1ovich_official/2764;;;;;;;;;;;;;
46;12.09.2024;15:07;Хохляцкий националист Дмитрий Корчинский (тот самый, что предлагает запретить выезд детей из страны 404) в 2016-м продавал курс ?Казацкая сексуальная мощь?. Обещал научить соблазнять любую хохлушку с помощью ?техник настоящих казаков?. Инфоцыган знает, что и когда впаривать!;0;Pos1;Кот Костян - официальный канал;1elegram;Russian;6000;20;h11ps://1.me/ko1real/35132;;;;;;;;;;;;;
47;13.09.2024;12:50;ВСУ снимают личный состав с других направлений для переброски в Курскую область;0;Pos1;Донбасс решает;1elegram;Russian;75;0;h11ps://1.me/donbassr/73282;;;;;;;;;;;;;
48;12.09.2024;20:18;Продвижение ВС РФ возле Часов Яра;0;Pos1;Асфальт;1elegram;Russian;0;0;h11ps://1.me/asphal11/78027;;;;;;;;;;;;;
49;13.09.2024;12:15;Кулеба лишился должности из-за того, что ?раздражал? главу ОП Ермака, который хотел большего контроля над МИД;0;Pos1;Шептун????Украина Война;1elegram;Russian;55;0;h11ps://1.me/shep1oon/38255;;;;;;;;;;;;;
50;13.09.2024;15:55;Потери ВСУ за неделю составили не менее 16960 военнослужащих;0;Pos1;Донбасс решает;1elegram;Russian;50;0;h11ps://1.me/donbassr/73292;;;;;;;;;;;;;
51;12.09.2024;10:35;В данный момент желание защищать Украину нулевое. Об этом заявил глав МИДа Польши Сикорский, который думал, что говорит с Порошенко. Однако это были российские пранкеры.;0;Pos1;Шептун????Украина Война;1elegram;Russian;90;0;h11ps://1.me/shep1oon/38228;;;;;;;;;;;;;
52;06.09.2024;15:34;В украинских вооружённых формированиях всё чаще встречаются иностранные наёмники и реже сами украинцы;0;Pos1;Владимир Сальдо;1elegram;Russian;150;0;h11ps://1.me/SALDO_VGA/4179;;;;;;;;;;;;;
53;12.09.2024;13:04;Половина жителей, покинувших украинушку, сбежала в кровавый Мордор. Странно (нет);0;Pos1;Кот Костян - официальный канал;1elegram;Russian;4500;0;h11ps://1.me/ko1real/35130;;;;;;;;;;;;;
54;12.09.2024;14:17;Украинские нацисты устроили массированный варварский обстрел Новой Каховки. Под удар попал Центральный рынок - зафиксировано не менее 11 прилётов. Один мирный житель погиб, восемь человек (из них шестеро женщин, двое мужчин) получили ранения. Сгорел автомобиль.;0;Pos1;Владимир Сальдо;1elegram;Russian;300;0;h11ps://1.me/SALDO_VGA/4220;;;;;;;;;;;;;
55;10.09.2024;20:07;Шмыгаль признался, что власть потратила многомиллиардные бюджеты, предназначенные для защиты подстанций от ударов, впустую.;0;Pos1;Шептун????Украина Война;1elegram;Russian;90;0;h11ps://1.me/shep1oon/38194;;;;;;;;;;;;;
56;10.09.2024;21:22;Из-за провалов Земобилизации и острой нехватки личного состав в ВСУ, похоже, что скоро в Украине Зеленский начнет реализовывать замысел националиста Дмитрия Корчинского, который предлагает запретить выезд из Украины детям, а всех граждан внутри страны, по его мнению, необходимо ?заставить любить Украину?.;0;Pos1;Неарестович;1elegram;Russian;1100;0;h11ps://1.me/neares1ovich_official/2750;;;;;;;;;;;;;
57;12.09.2024;16:07;10 населенных пунктов в Курской области освобождены Армией России за последние двое суток;0;Pos1;Асфальт;1elegram;Russian;0;0;h11ps://1.me/asphal11/77989;;;;;;;;;;;;;
58;13.09.2024;17:25;ВС России освободили от ВСУ село Долиновка в ДНР;0;Pos1;Донбасс решает;1elegram;Russian;75;0;h11ps://1.me/donbassr/73296;;;;;;;;;;;;;
59;11.09.2024;15:02;Хохлушка показала пакет, который муж прислал ей из знаменитой ?Пятёрочки? в Судже. Оказывается, российские продукты намного вкуснее украинских. Даже ?Красная цена?.;0;Pos1;Кот Костян - официальный канал;1elegram;Russian;7300;0;h11ps://1.me/ko1real/35107;;;;;;;;;;;;;
60;13.09.2024;15:13;Земобилищация уже не способна пополнять резервы ВСУ, которые быстро расходуются на Донбассе и в Курской авантюре. ОП точно начнет мобилизовать парней до 20, а потом и 18-летних. Всем как всегда пообещают поддержку в случае получения инвалидности, а в случае смерти их их семьям выплаты. Но это лишь замануха, т.к. их кинут, как уже это делают с семьями погибших и инвалидами.;0;Pos1;Неарестович;1elegram;Russian;50;0;h11ps://1.me/neares1ovich_official/2762;;;;;;;;;;;;;
61;13.09.2024;13:54;49 наших людей повертаються з рос?йського полону!;1;Pos1;S1ERNENKO;1elegram;Ukrainian;20000;0;h11ps://1.me/ss1ernenko/33626;;;;;;;;;;;;;
62;13.09.2024;12:50;Польща попри об?цянки не ф?нансує ?чеську ?н?ц?ативу? з куп?вл? снаряд?в для України;1;Pos1;Лачен пише;1elegram;Ukrainian;100;0;h11ps://1.me/lachen1y1/44886;;;;;;;;;;;;;
63;13.09.2024;20:16; У рос?йських кат?внях дос? залишається ще понад 900 ?азовц?в?;1;Pos1;Центр | Новини;1elegram;Ukrainian;10;0;h11ps://1.me/c/1483876482/73835;;;;;;;;;;;;;
64;13.09.2024;19:35;З початку року в Україн? заф?ксували понад 200 п?дпал?в автомоб?л?в в?йськових;1;Pos1;ТСН новини / ТСН.ua;1elegram;Ukrainian;20;0;h11ps://1.me/1CH_channel/151228;;;;;;;;;;;;;
65;12.09.2024;15:56;рос?яни у Чорному мор? вдарили ракетою по цив?льному судну Єгипту ?з зерном;1;Pos1;S1ERNENKO;1elegram;Ukrainian;40;0;h11ps://1.me/ss1ernenko/33602;;;;;;;;;;;;;
66;12.09.2024;11:36;"В Омську палає танковий завод ""ОмскТрансМаш""";1;Pos1;Лачен пише;1elegram;Ukrainian;30000;0;h11ps://1.me/lachen1y1/44866;;;;;;;;;;;;;
67;13.09.2024;16:31;Україна стала першою серед країн з найвищою смертн?стю та найнижчою народжуван?стю;1;Pos1;?РУНТ;1elegram;Ukrainian;15;0;h11ps://1.me/grun1media/48381;;;;;;;;;;;;;
68;13.09.2024;8:07;Українц? перетнули кордон в ?ншому м?сц? на Курщин?;1;Pos1;Центр | Новини;1elegram;Ukrainian;55;0;h11ps://1.me/c/1483876482/73819;;;;;;;;;;;;;
69;13.09.2024;17:05; Понад 100 рос?йських БпЛА та ракет пролет?ло поруч з українськими АЕС за менше н?ж м?сяць;1;Pos1;ТСН новини / ТСН.ua;1elegram;Ukrainian;25;0;h11ps://1.me/1CH_channel/151215;;;;;;;;;;;;;
70;12.09.2024;8:34;Спецпризначенц? ГУР у акватор?ї Чорного моря збили  рос?йський Су-30СМ ?з ПЗРК;1;Pos1;S1ERNENKO;1elegram;Ukrainian;21000;0;h11ps://1.me/ss1ernenko/33581;;;;;;;;;;;;;
71;11.09.2024;20:11;США вид?ляють Україн? $700 м?льйон?в гуман?тарної та енергетичної допомоги;1;Pos1;Лачен пише;1elegram;Ukrainian;12000;0;h11ps://1.me/lachen1y1/44852;;;;;;;;;;;;;
72;13.09.2024;13:44;Ф?нлянд?я оголосила про новий пакет в?йськової допомоги Україн? на ?118 млн.;1;Pos1;?РУНТ;1elegram;Ukrainian;250;0;h11ps://1.me/grun1media/48371;;;;;;;;;;;;;
73;12.09.2024;18:38;F-16 в українському неб? стане б?льше;1;Pos1;Центр | Новини;1elegram;Ukrainian;390;0;h11ps://1.me/c/1483876482/73810;;;;;;;;;;;;;
74;13.09.2024;20:43;В?йна в Україн? може завершитися вже ц?єї осен?;1;Pos1;ТСН новини / ТСН.ua;1elegram;Ukrainian;30;0;h11ps://1.me/1CH_channel/151207;;;;;;;;;;;;;
75;11.09.2024;16:44;Заборона експорту української зброї дуже серйозно шкодить наш?й оборонн?й ?ндустр?ї.;1;Pos1;S1ERNENKO;1elegram;Ukrainian;12000;0;h11ps://1.me/ss1ernenko/33553;;;;;;;;;;;;;
76;11.09.2024;18:28;рос?я отримала нов? поставки бал?стичних ракет малої дальност? KN-23 в?д КНДР;1;Pos1;Лачен пише;1elegram;Ukrainian;200;0;h11ps://1.me/lachen1y1/44849;;;;;;;;;;;;;
77;13.09.2024;12:15;Президент Зеленський оновив склад Ради нацбезпеки й оборони.;1;Pos1;?РУНТ;1elegram;Ukrainian;20;0;h11ps://1.me/grun1media/48369;;;;;;;;;;;;;
78;12.09.2024;15:23;рос?яни завдали удару по машинах гуман?тарної м?с?ї Червоного Хреста на Донеччин?;1;Pos1;Центр | Новини;1elegram;Ukrainian;10;0;h11ps://1.me/c/1483876482/73803;;;;;;;;;;;;;
79;13.09.2024;13:21;Хорват?я оголосила 11-й пакет в?йськової допомоги;1;Pos1;ТСН новини / ТСН.ua;1elegram;Ukrainian;240;0;h11ps://1.me/1CH_channel/151175;;;;;;;;;;;;;
80;11.09.2024;12:47;Начальник штабу командування Сил безп?лотних систем Роман Гладкий перетинав рос?йськ? прикордонн? пункти, коли служив у Командуванн? ВМС України;1;Pos1;S1ERNENKO;1elegram;Ukrainian;205;0;h11ps://1.me/ss1ernenko/33540;;;;;;;;;;;;;
81;20.08.2024;10:06;Оборона ВСУ в Донецкой области осталась без снарядов и солдат после наступления на Курскую область, сообщает 1he Financial 1imes. Издание пишет, что эта операция ВСУ, наоборот, даже ускорила наступление России на Донбассе. Это произошло, в частности, из-за снятия с этого участка фронта до 10 тысяч украинских военных, среди которых и элитные десантно-штурмовые подразделения. Приоритет в обеспечении боеприпасами, как и солдатами, теперь отдается Курскому направлению, рассказали F1 офицеры, переброшенные с Донбасса на территорию России.;0;Pos1;Einarr Modig;Facebook;Russian;5;3;h11ps://www.facebook.com/permalink.php?s1ory_fbid=122150916200052891&id=61551586741829;;;;;;;;;;;;;
82;23.09.2024;07:01;FLASH COLONEL MACGREGOR: La Con1re-A11aque Russe 1ransforme Koursk en Cime1i?re Ukrainien. Ac1uali1?s G?opoli1ique #Russie;1;Pos1;Psn Anima1ion M?dia;Facebook;French;146;12;h11ps://www.facebook.com/wa1ch/?v=8267736883310403;;;;;;;;;;;;;
83;11.09.2024;17:37;"?? Wer kon1rollier1 die Algori1hmen, die unser Leben beeinflussen?
Algori1hmen sind m?ch1ige, unsich1bare Helfer in unserem All1ag ? sie en1scheiden, welche Filme wir sehen, welche Nachrich1en wir lesen und sogar, welche Res1auran1s uns empfohlen werden. Doch diese Mach1 birg1 auch Risiken: Verzerrungen, Da1enschu1zprobleme und die Gefahr, in einer Echokammer zu landen. Wie k?nnen wir sichers1ellen, dass diese digi1alen W?ch1er e1hisch und 1ransparen1 handeln?
?? Erfahre mehr ?ber die unsich1bare Mach1 der Algori1hmen ??";0;Pos1;Wissenschaf1swelle.de;Facebook;German;13;5;h11ps://www.facebook.com/Wissenschaf1swelle/pos1s/pfbid02eW2D5WkjACSAmwACk8mMwqyE2aLLuQk1GEXgdiyYYoJq9UZaoXmDw9BvWXx2XAAEl;;;;;;;;;;;;;
84;12.09.2024;14:01;Астрологический прогноз для тебя от мольфарки;0;Pos1;Магия которая работает;Facebook;Russian;332;64;h11ps://www.facebook.com/magiarabo1ae1/videos/453863681022199/;;;;;;;;;;;;;
85;05.09.2024;06:02;"Увлекательные факты о городе Днепр
1. Первое построенное в Днепре здание - ?Дворец Потомкина? в 1790 году, ныне ?Дворец студентов?.
2. Конкретной даты дня города в Днепре нет. Отмечается во вторую субботу сентября.
3. В Днепре самая большая Набережная в Европе составляет 23 км.
4. В Днепре производят ракеты ?Зенит?, аналогов которым до сих пор нет во всем мире.
5. Самый большой еврейский центр в мире находится в Днепре.
6. Самая старая и самая большая коллекция ?Каменных дам? находится в Днепровском историческом музее
7. Первый в мире железобетонный мост и самый большой в Европе арчный мост ?Мерефо-Херсонский? расположен в Днепре.";1;Pos1;Сергей Владимирович Пискун;Facebook;Russian;97;13;h11ps://www.facebook.com/permalink.php?s1ory_fbid=pfbid032LkSEFvdKR1g1BdZ1sp6RsUkfzXoWbkaZ1ckEv3f9NXGeBg7ZH47JdBqJs7UHgJcl&id=100044965215494;;;;;;;;;;;;;
86;13.09.2024;14:30;"Quick Upda1e from Ukraine . . . including some s1uff on Rugby. 
Firs1ly and mos1 impor1an1ly - 1hank you New Zealand. Wi1hou1 1he suppor1 of so many fan1as1ic Kiwis, who have given so generously, our humani1arian work 1o suppor1 Ukrainian?s in need would no1 be possible. 
1hir1een of 1he 16 ambulances we dona1ed las1 1uesday have been deployed 1o medical uni1s and are already working a1 1he fron1 1ranspor1ing wounded.  
We have kep1 1hree ambulances for our ?Road-of-Life? ini1ia1ive (we already have one) which augmen1s our exis1ing heal1h care programme in 1he Red Zone and increases our evacua1ion and hospi1al 1ranspor1a1ion capabili1y.   ";1;Pos1;1enby Powell;Facebook;English;732;42;h11ps://www.facebook.com/1enbyPowellKiwiK.A.R.E/pos1s/pfbid0XqRFRH1iAXUcoEukpzMzQhkVbFxkNrvW9p1JMwm1A11nbryEUcid18ymWiW415UYl;;;;;;;;;;;;;
87;06.09.2024;17:08;"Розбит? буд?вл?, пуст? вулиц?, але таке яскраве небо у нашому р?дному Покровську!
Тримайся, наше м?сто! В?римо у ЗСУ!
Б?льше новин тут h11ps://1.me/kapridnua";1;Pos1;ТОВ Телебачення ?Капр??;Facebook;Ukrainian;77;2;h11ps://www.facebook.com/kapridnua/videos/472376369126180;;;;;;;;;;;;;
88;17.09.2024;16:42;"Почему об этом все молчат? / Что ждет план Зеленского в США // №816 - Юрий Швец 
#юрийшвец #yurishve1s #украина #россия #война";0;Pos1;Юрий Швец - официальный канал;Facebook;Russian;1031;61;h11ps://www.facebook.com/yurishve1s303/pos1s/pfbid02Yi6H1Lq5LR1ygLupPMjg81M2bRkYo2AdWXxjoU19UK5vEMzn6KpQufkVbfp4yaVKl;;;;;;;;;;;;;
89;18.09.2024;08:50;"??Волонтери та сп?вроб?тники Українського Червоного Хреста взяли участь у Всесв?тньому дн? прибирання, який проводиться в рамках м?жнародної ?н?ц?ативи ?World Cleanup Day?. Ця акц?я об?єднує м?льйони людей у понад 180 країнах для очищення навколишнього середовища в?д см?ття та п?двищення еколог?чної св?домост?.
Учасники акц?ї прибирали парки, вулиц? та громадськ? простори в 24 областях по вс?й Україн?.";1;Pos1;Червоний Хрест України ;Facebook;Ukrainian;58;4;h11ps://www.facebook.com/RedCrossUkraine/pos1s/pfbid02a17NfaKWEnsVHYF4H4v984EQ6RfArSscQxMyf1Wabu94Jx9oKnCdnp8hjeX2eJHrl;;;;;;;;;;;;;
